epoch,training_acc,training_loss
0,66.67,505.21
1,76.17,308.1
2,79.5,239.88
3,81.75,201.98
4,82.47,177.6
5,83.22,160.4
6,83.47,145.59
7,83.7,132.07
8,84.81,122.54
9,85.04,113.52
10,85.19,105.79
11,86.17,99.49
12,89.36,43.96
13,89.25,24.9
14,89.49,16.24
15,89.48,11.15
16,89.3,7.79
17,89.31,6.02
18,89.18,4.55
19,89.29,4.36
20,89.22,3.73
21,88.84,4.82
22,88.81,4.68
23,89.35,2.88
24,89.51,2.03
25,89.48,1.69
26,89.43,1.6
27,89.61,1.45
28,89.54,1.47
29,89.51,1.36
30,89.53,1.29
31,89.57,1.19
32,89.6,1.23
33,89.49,1.26
34,89.61,1.28
35,89.6,1.19
36,89.54,1.14
37,89.55,1.15
38,89.52,1.15
39,89.49,1.24
40,89.75,1.21
41,89.55,1.21
42,89.66,1.17
43,89.57,1.17
44,89.68,1.12
45,89.76,1.1
46,89.55,1.26
47,89.61,1.11
48,89.57,1.17
49,89.57,1.19
