epoch,training_acc,training_loss
0,65.9,490.89
1,76.95,302.49
2,77.95,235.55
3,81.4,201.85
4,82.05,179.89
5,83.19,161.71
6,83.55,144.29
7,84.59,135.17
8,84.93,122.79
9,84.52,112.29
10,85.2,106.23
11,86.3,98.53
12,88.8,43.77
13,88.78,25.42
14,89.07,16.67
15,88.74,11.46
16,88.63,7.92
17,88.62,5.98
18,88.75,5.49
19,88.83,4.47
20,88.8,4.28
21,88.55,5.06
22,88.41,4.88
23,88.7,2.96
24,88.79,2.01
25,88.82,1.91
26,88.94,1.6
27,88.88,1.53
28,89.12,1.52
29,88.86,1.44
30,88.77,1.31
31,88.87,1.27
32,89.02,1.37
33,88.87,1.27
34,88.86,1.22
35,88.96,1.23
36,89.05,1.24
37,88.92,1.25
38,89.11,1.21
39,88.95,1.18
40,88.94,1.21
41,88.98,1.15
42,89.01,1.17
43,88.95,1.22
44,88.91,1.18
45,88.98,1.21
46,88.91,1.15
47,88.9,1.07
48,88.92,1.17
49,88.95,1.19
