epoch,training_acc,training_loss
0,63.89,503.4
1,75.35,309.48
2,79.22,242.52
3,80.79,205.6
4,82.35,180.68
5,83.04,162.01
6,84.21,149.99
7,84.56,133.89
8,83.87,122.94
9,85.16,115.41
10,85.17,105.63
11,85.44,98.28
12,89.14,46.14
13,89.27,25.47
14,89.27,15.86
15,89.02,11.45
16,89.14,7.85
17,88.75,6.01
18,88.91,4.44
19,88.62,4.77
20,88.49,4.35
21,88.61,5.23
22,88.72,4.31
23,89.07,2.57
24,89.22,2.08
25,89.32,1.64
26,89.08,1.54
27,89.17,1.46
28,89.25,1.49
29,89.14,1.38
30,89.05,1.37
31,89.13,1.29
32,89.04,1.23
33,88.98,1.27
34,89.06,1.25
35,89.13,1.18
36,89.11,1.18
37,89.16,1.19
38,89.1,1.07
39,89.17,1.17
40,89.1,1.09
41,89.02,1.12
42,89.05,1.13
43,89.09,1.13
44,89.05,1.12
45,89.07,1.14
46,88.99,1.14
47,89.08,1.11
48,89.02,1.14
49,89.1,1.06
