epoch,training_acc,training_loss
0,67.11,496.86
1,76.5,311.23
2,77.35,242.21
3,81.5,204.54
4,81.88,179.69
5,82.5,160.12
6,84.18,145.9
7,83.99,133.77
8,84.21,122.76
9,85.26,113.58
10,85.8,106.22
11,85.75,100.45
12,89.07,45.31
13,88.98,25.28
14,89.11,17.23
15,89.39,12.16
16,89.16,8.53
17,89.13,6.2
18,89.06,5.77
19,89.07,4.63
20,89.21,4.09
21,88.61,4.36
22,88.74,3.78
23,89.2,2.55
24,89.14,2.0
25,89.16,1.89
26,89.3,1.63
27,89.2,1.5
28,89.21,1.54
29,89.14,1.49
30,89.26,1.44
31,89.33,1.35
32,89.39,1.23
33,89.4,1.33
34,89.34,1.23
35,89.32,1.19
36,89.35,1.26
37,89.38,1.17
38,89.33,1.18
39,89.35,1.29
40,89.38,1.18
41,89.25,1.14
42,89.42,1.17
43,89.3,1.19
44,89.37,1.18
45,89.35,1.18
46,89.31,1.17
47,89.3,1.17
48,89.35,1.19
49,89.43,1.16
