epoch,training_acc,training_loss
0,66.63,508.31
1,75.37,310.81
2,78.69,239.08
3,82.1,201.83
4,82.12,177.92
5,83.1,161.0
6,83.56,145.89
7,83.92,133.59
8,85.2,123.04
9,85.25,114.54
10,85.91,103.79
11,86.31,99.42
12,89.56,46.42
13,89.69,26.29
14,89.75,18.06
15,89.6,11.99
16,89.69,8.31
17,89.43,6.55
18,89.5,5.65
19,89.21,4.5
20,89.39,4.08
21,89.27,3.75
22,88.94,3.79
23,89.47,2.96
24,89.51,1.99
25,89.58,1.81
26,89.62,1.61
27,89.59,1.61
28,89.58,1.42
29,89.6,1.44
30,89.56,1.26
31,89.47,1.25
32,89.56,1.27
33,89.52,1.21
34,89.41,1.18
35,89.64,1.14
36,89.69,1.14
37,89.6,1.22
38,89.55,1.18
39,89.55,1.18
40,89.57,1.13
41,89.53,1.17
42,89.55,1.17
43,89.63,1.18
44,89.51,1.09
45,89.64,1.14
46,89.59,1.16
47,89.56,1.14
48,89.49,1.11
49,89.45,1.07
