epoch,training_acc,training_loss
0,69.64,485.07
1,77.12,292.26
2,79.19,231.98
3,81.51,198.64
4,82.58,173.5
5,83.05,158.5
6,84.31,144.77
7,84.37,132.6
8,84.84,120.6
9,85.73,111.84
10,84.72,106.94
11,84.98,98.01
12,89.37,43.24
13,89.47,23.9
14,89.41,16.16
15,89.25,10.78
16,89.34,8.22
17,89.44,6.54
18,89.43,5.02
19,89.09,4.37
20,88.81,3.93
21,88.97,3.98
22,88.97,5.24
23,89.06,3.06
24,89.42,2.3
25,89.45,1.86
26,89.54,1.76
27,89.3,1.58
28,89.41,1.55
29,89.45,1.5
30,89.36,1.35
31,89.45,1.37
32,89.5,1.37
33,89.45,1.22
34,89.48,1.2
35,89.42,1.24
36,89.43,1.26
37,89.55,1.17
38,89.44,1.25
39,89.42,1.17
40,89.45,1.14
41,89.35,1.18
42,89.51,1.23
43,89.4,1.22
44,89.43,1.16
45,89.42,1.18
46,89.55,1.22
47,89.61,1.19
48,89.49,1.1
49,89.45,1.14
