epoch,training_acc,training_loss
0,66.97,502.07
1,76.57,309.19
2,79.5,239.08
3,80.96,202.0
4,82.78,176.96
5,83.34,160.26
6,84.4,144.41
7,85.45,132.08
8,84.82,120.37
9,84.47,114.72
10,85.33,104.23
11,85.89,98.01
12,89.01,45.35
13,89.19,25.53
14,89.27,15.71
15,89.17,10.87
16,89.15,7.64
17,88.94,5.58
18,88.98,4.32
19,88.87,4.28
20,88.81,4.23
21,88.66,4.6
22,88.73,4.81
23,89.27,3.3
24,89.09,2.08
25,89.33,1.86
26,89.28,1.62
27,89.37,1.66
28,89.38,1.43
29,89.19,1.4
30,89.42,1.39
31,89.27,1.36
32,89.2,1.3
33,89.39,1.27
34,89.38,1.21
35,89.26,1.3
36,89.38,1.21
37,89.32,1.18
38,89.39,1.21
39,89.39,1.18
40,89.29,1.17
41,89.3,1.13
42,89.35,1.14
43,89.33,1.2
44,89.37,1.25
45,89.29,1.18
46,89.29,1.17
47,89.4,1.21
48,89.32,1.19
49,89.37,1.2
