epoch,training_acc,training_loss
0,67.26,492.63
1,75.12,302.23
2,78.55,234.32
3,82.23,203.33
4,82.76,175.44
5,83.33,156.86
6,84.19,145.44
7,84.56,130.69
8,84.77,120.96
9,85.49,112.5
10,85.55,106.07
11,85.51,97.05
12,89.15,46.45
13,89.46,25.31
14,89.43,16.88
15,89.68,10.84
16,89.19,8.04
17,89.23,5.89
18,89.17,4.97
19,89.24,4.11
20,89.16,3.51
21,88.7,4.97
22,88.82,4.69
23,89.23,2.88
24,89.17,2.03
25,89.28,1.72
26,89.13,1.63
27,89.23,1.51
28,89.29,1.35
29,89.29,1.33
30,89.38,1.3
31,89.36,1.23
32,89.23,1.24
33,89.25,1.19
34,89.2,1.25
35,89.15,1.15
36,89.29,1.14
37,89.28,1.1
38,89.32,1.12
39,89.25,1.13
40,89.22,1.19
41,89.31,1.18
42,89.29,1.11
43,89.14,1.12
44,89.22,1.12
45,89.18,1.15
46,89.31,1.04
47,89.18,1.17
48,89.14,1.2
49,89.24,1.08
