epoch,training_acc,training_loss,L2
1,34.28,845.35,849.0
2,40.65,808.92,881.0
3,46.67,792.82,910.0
4,44.75,779.26,940.0
5,49.46,769.85,968.0
6,53.55,757.31,998.0
7,54.81,745.92,1027.0
8,56.22,738.21,1055.0
9,57.94,730.63,1082.0
10,60.18,723.06,1108.0
11,59.79,715.1,1135.0
12,62.36,709.26,1162.0
13,61.74,702.56,1189.0
14,64.31,697.31,1217.0
15,63.54,689.99,1243.0
16,65.58,686.99,1272.0
17,65.22,681.28,1299.0
18,66.33,676.4,1327.0
19,66.96,670.82,1354.0
20,67.56,665.79,1383.0
21,67.46,660.84,1409.0
22,68.03,655.78,1434.0
23,68.76,652.18,1461.0
24,68.69,648.21,1487.0
25,69.93,644.55,1513.0
26,69.35,641.46,1537.0
27,69.92,636.86,1560.0
28,69.35,634.73,1584.0
29,69.3,632.12,1607.0
30,70.24,629.06,1629.0
31,69.65,626.74,1651.0
32,69.87,625.51,1672.0
33,70.24,623.15,1693.0
34,70.69,622.01,1713.0
35,70.59,620.57,1734.0
36,70.55,618.6,1753.0
37,69.46,617.89,1773.0
38,70.19,617.14,1793.0
39,70.57,616.66,1814.0
40,70.53,615.58,1834.0
41,71.37,614.87,1854.0
42,70.5,612.63,1871.0
43,69.86,612.22,1890.0
44,71.0,612.13,1909.0
45,70.64,611.65,1929.0
46,71.23,610.24,1945.0
47,71.17,609.65,1962.0
48,71.89,609.57,1981.0
49,71.74,608.76,1999.0
50,71.0,608.71,2018.0
51,71.62,607.28,2034.0
52,71.72,607.17,2052.0
53,71.67,607.11,2071.0
54,71.05,606.49,2089.0
55,71.61,605.72,2106.0
56,71.13,605.91,2125.0
57,71.38,604.65,2141.0
58,71.17,604.61,2158.0
59,71.74,605.18,2177.0
60,71.56,603.89,2193.0
61,71.26,604.06,2212.0
62,72.13,602.94,2227.0
63,71.66,602.32,2243.0
64,71.87,602.36,2259.0
65,70.98,602.03,2274.0
66,71.59,602.21,2291.0
67,72.33,601.39,2308.0
68,71.7,602.08,2328.0
69,71.4,601.64,2346.0
70,71.44,601.39,2364.0
71,72.02,600.3,2378.0
72,72.76,599.81,2392.0
73,72.04,600.3,2410.0
74,71.8,600.54,2428.0
75,71.9,600.23,2446.0
76,71.85,600.58,2465.0
77,72.19,599.8,2483.0
78,71.87,599.5,2499.0
79,72.26,599.44,2516.0
80,72.53,598.51,2531.0
81,71.84,598.95,2547.0
82,72.24,599.65,2567.0
83,71.66,599.02,2584.0
84,72.38,597.71,2598.0
85,72.08,597.65,2612.0
86,72.46,598.28,2630.0
87,72.57,598.14,2648.0
88,71.5,597.37,2661.0
89,71.92,596.95,2677.0
90,72.39,597.2,2693.0
91,72.4,596.9,2710.0
92,72.32,596.3,2723.0
93,72.44,597.0,2740.0
94,71.06,596.8,2760.0
95,72.71,596.13,2775.0
96,72.73,595.81,2790.0
97,72.64,595.94,2806.0
98,72.17,595.56,2821.0
99,71.86,596.35,2840.0
