epoch,training_acc,training_loss,L2
1,2.63,1799.15,1713.0
2,3.58,1795.17,1734.0
3,3.46,1792.61,1753.0
4,5.33,1790.31,1771.0
5,4.91,1788.34,1786.0
6,5.62,1786.12,1801.0
7,5.8,1784.94,1815.0
8,6.47,1782.93,1830.0
9,7.05,1780.51,1844.0
10,7.12,1778.58,1857.0
11,7.55,1778.18,1868.0
12,7.37,1776.56,1880.0
13,7.91,1775.75,1891.0
14,7.27,1774.68,1900.0
15,7.68,1773.91,1910.0
16,8.12,1773.24,1919.0
17,8.03,1772.31,1928.0
18,8.19,1772.06,1937.0
19,8.33,1771.34,1947.0
20,8.17,1770.31,1955.0
21,8.78,1769.22,1966.0
22,9.05,1766.78,1975.0
23,9.12,1765.66,1986.0
24,9.09,1765.03,1996.0
25,9.19,1764.08,2006.0
26,9.52,1763.35,2015.0
27,9.49,1762.71,2025.0
28,9.56,1761.9,2034.0
29,9.58,1761.42,2045.0
30,10.11,1760.67,2055.0
31,9.91,1759.84,2066.0
32,10.37,1758.07,2076.0
33,10.12,1756.8,2087.0
34,10.81,1756.27,2098.0
35,10.42,1755.09,2108.0
36,10.12,1754.13,2118.0
37,10.7,1753.16,2129.0
38,10.63,1751.96,2138.0
39,10.83,1751.21,2149.0
40,10.7,1750.32,2158.0
41,10.77,1749.88,2169.0
42,11.04,1748.64,2179.0
43,11.06,1747.57,2188.0
44,11.18,1747.05,2198.0
45,10.62,1745.69,2207.0
46,11.02,1745.62,2216.0
47,10.87,1745.11,2226.0
48,10.93,1743.6,2235.0
49,10.91,1742.86,2243.0
50,10.87,1741.85,2253.0
51,10.96,1741.45,2262.0
52,10.77,1741.29,2271.0
53,11.01,1740.51,2280.0
54,11.27,1739.55,2288.0
55,11.05,1739.38,2298.0
56,11.11,1738.67,2307.0
57,11.18,1737.83,2317.0
58,11.53,1737.19,2326.0
59,11.37,1736.3,2335.0
60,11.23,1735.29,2344.0
61,11.04,1734.82,2353.0
62,11.46,1733.79,2361.0
63,11.28,1733.95,2371.0
64,11.58,1734.13,2380.0
65,11.59,1732.37,2389.0
66,11.52,1731.84,2398.0
67,11.79,1731.75,2406.0
68,11.57,1731.23,2415.0
69,11.39,1730.44,2424.0
70,11.81,1730.16,2433.0
71,11.71,1729.35,2442.0
72,11.49,1729.19,2451.0
73,11.74,1728.14,2459.0
74,11.65,1727.62,2468.0
75,11.79,1727.17,2477.0
76,12.07,1726.79,2485.0
77,11.7,1725.78,2494.0
78,11.99,1725.75,2503.0
79,11.79,1724.94,2511.0
80,11.63,1724.94,2520.0
81,11.94,1723.99,2529.0
82,11.99,1723.51,2539.0
83,11.9,1722.57,2547.0
84,12.25,1722.25,2557.0
85,12.24,1721.74,2566.0
86,12.17,1720.79,2575.0
87,12.31,1720.74,2585.0
88,12.3,1719.58,2593.0
89,12.38,1719.05,2603.0
90,12.28,1719.18,2613.0
91,12.67,1718.39,2622.0
92,12.66,1718.12,2632.0
93,12.64,1717.03,2641.0
94,12.76,1716.69,2651.0
95,12.74,1715.7,2661.0
96,12.76,1715.01,2670.0
97,12.85,1714.47,2680.0
98,12.83,1714.08,2690.0
99,12.79,1713.68,2700.0
