epoch,training_acc,training_loss,L2
1,3.49,1798.79,1718.0
2,4.08,1793.11,1746.0
3,5.52,1789.76,1767.0
4,6.37,1785.76,1790.0
5,6.71,1782.95,1808.0
6,7.93,1779.55,1826.0
7,8.2,1777.22,1843.0
8,8.47,1774.98,1859.0
9,8.64,1772.74,1874.0
10,9.28,1771.2,1887.0
11,8.53,1769.72,1901.0
12,9.86,1767.41,1915.0
13,10.39,1765.68,1928.0
14,10.21,1764.74,1940.0
15,10.47,1763.59,1951.0
16,10.33,1762.51,1962.0
17,10.69,1761.98,1973.0
18,10.47,1761.15,1984.0
19,10.82,1759.69,1995.0
20,10.92,1759.17,2005.0
21,10.92,1758.52,2016.0
22,11.13,1756.71,2026.0
23,11.68,1756.02,2038.0
24,11.94,1754.52,2049.0
25,11.92,1753.31,2061.0
26,11.86,1752.29,2072.0
27,12.08,1751.45,2083.0
28,11.89,1749.59,2093.0
29,12.39,1749.23,2104.0
30,12.33,1748.48,2115.0
31,12.44,1747.13,2126.0
32,12.44,1746.11,2137.0
33,12.77,1744.61,2147.0
34,12.8,1743.93,2158.0
35,12.94,1742.33,2168.0
36,13.08,1742.1,2179.0
37,12.92,1740.62,2190.0
38,13.13,1739.56,2200.0
39,13.31,1738.36,2211.0
40,13.6,1736.83,2222.0
41,13.52,1736.09,2234.0
42,13.86,1735.84,2245.0
43,13.74,1734.06,2256.0
44,13.51,1733.46,2267.0
45,14.04,1732.68,2278.0
46,14.01,1731.75,2289.0
47,14.21,1730.17,2300.0
48,13.92,1729.56,2311.0
49,14.23,1728.76,2321.0
50,14.12,1727.55,2332.0
51,14.03,1727.53,2343.0
52,14.31,1726.59,2353.0
53,14.28,1724.96,2364.0
54,14.21,1724.36,2375.0
55,14.31,1724.09,2385.0
56,14.68,1722.33,2396.0
57,14.93,1721.7,2406.0
58,14.57,1720.93,2417.0
59,14.49,1719.56,2428.0
60,14.88,1718.65,2438.0
61,14.95,1718.31,2449.0
62,15.07,1717.34,2459.0
63,15.0,1716.5,2469.0
64,15.03,1715.84,2479.0
65,15.06,1715.35,2490.0
66,15.07,1714.84,2500.0
67,14.74,1713.89,2509.0
68,14.76,1713.26,2519.0
69,14.73,1713.65,2529.0
70,15.17,1713.09,2539.0
71,14.55,1712.39,2550.0
72,14.82,1711.05,2560.0
73,14.74,1710.82,2571.0
74,14.85,1709.83,2582.0
75,15.13,1709.22,2593.0
76,15.04,1708.43,2605.0
77,15.3,1707.65,2616.0
78,15.16,1706.85,2627.0
79,15.23,1706.55,2640.0
80,15.15,1704.9,2651.0
81,14.93,1703.39,2662.0
82,15.05,1702.71,2674.0
83,15.05,1702.21,2686.0
84,15.23,1701.59,2698.0
85,15.23,1700.46,2709.0
86,15.06,1699.82,2720.0
87,15.14,1699.28,2732.0
88,15.53,1698.35,2743.0
89,15.37,1697.69,2753.0
90,15.58,1696.25,2764.0
91,15.34,1696.27,2775.0
92,15.14,1695.45,2786.0
93,15.52,1695.09,2797.0
94,15.35,1694.14,2808.0
95,15.58,1693.84,2818.0
96,15.27,1693.22,2829.0
97,15.23,1693.2,2839.0
98,15.28,1692.53,2850.0
99,15.41,1691.91,2860.0
