epoch,training_acc,training_loss,L2
1,16.09,1559.9,18847.0
2,21.61,1301.28,18265.0
3,24.43,1157.39,17891.0
4,26.62,1039.11,17523.0
5,28.7,925.72,17164.0
6,29.08,814.79,16821.0
7,28.94,694.51,16502.0
8,28.88,574.38,16205.0
9,28.31,458.86,15930.0
10,28.56,347.75,15670.0
11,27.82,258.38,15419.0
12,28.4,192.33,15173.0
13,27.65,147.29,14927.0
14,27.43,115.41,14680.0
15,28.1,106.62,14435.0
16,27.95,105.5,14199.0
17,28.11,96.74,13967.0
18,28.71,86.71,13737.0
19,27.53,80.67,13510.0
20,27.91,82.87,13291.0
21,28.27,70.1,13071.0
22,28.07,62.98,12851.0
23,27.78,71.05,12640.0
24,27.86,69.95,12436.0
25,28.6,65.17,12236.0
26,28.36,59.26,12039.0
27,28.59,54.74,11843.0
28,28.45,54.59,11652.0
29,28.09,51.88,11463.0
30,28.78,58.66,11286.0
31,29.02,56.12,11115.0
32,29.21,45.95,10942.0
33,29.63,39.89,10768.0
34,28.67,60.14,10612.0
35,28.98,59.06,10466.0
36,29.23,41.56,10313.0
37,29.56,37.03,10158.0
38,29.49,48.06,10016.0
39,28.95,45.94,9878.0
40,30.05,45.08,9744.0
41,28.97,45.55,9615.0
42,29.99,36.15,9484.0
43,29.38,32.4,9349.0
44,29.23,44.09,9229.0
45,29.59,50.08,9119.0
46,29.6,37.79,9006.0
47,29.49,29.35,8884.0
48,29.12,37.94,8773.0
49,29.27,48.76,8675.0
50,30.38,37.73,8573.0
51,30.25,23.52,8459.0
52,29.8,24.28,8343.0
53,28.88,49.52,8255.0
54,29.61,49.81,8173.0
55,29.62,27.42,8075.0
56,29.89,24.69,7973.0
57,29.08,25.14,7871.0
58,29.06,44.85,7792.0
59,29.64,44.99,7718.0
60,30.08,29.34,7633.0
61,29.88,32.32,7552.0
62,29.56,34.78,7475.0
63,30.26,29.26,7394.0
64,29.37,33.91,7319.0
65,29.55,32.81,7246.0
66,30.29,26.16,7167.0
67,29.87,29.8,7092.0
68,29.91,36.13,7027.0
69,29.77,35.45,6964.0
70,30.41,25.86,6892.0
71,30.33,24.34,6819.0
72,29.91,32.37,6755.0
73,29.92,33.23,6694.0
74,30.75,35.12,6637.0
75,30.19,22.43,6569.0
76,30.11,22.36,6499.0
77,30.35,22.14,6429.0
78,29.83,45.48,6386.0
79,29.91,37.55,6338.0
80,30.9,22.11,6276.0
81,30.84,15.27,6204.0
82,30.22,14.45,6128.0
83,29.89,52.96,6097.0
84,30.54,40.88,6057.0
85,30.97,19.76,6000.0
86,30.35,15.57,5934.0
87,29.96,24.59,5880.0
88,30.42,39.81,5843.0
89,29.63,30.61,5799.0
90,29.77,27.45,5752.0
91,30.49,19.0,5696.0
92,30.08,25.41,5648.0
93,29.23,29.23,5607.0
94,30.47,30.26,5567.0
95,30.28,25.69,5523.0
96,30.44,23.78,5476.0
97,30.35,29.91,5439.0
98,30.12,24.82,5396.0
99,30.95,24.04,5353.0
