epoch,training_acc,training_loss,L2
1,16.09,1552.16,18836.0
2,21.21,1298.05,18243.0
3,24.32,1156.77,17861.0
4,27.53,1035.88,17487.0
5,28.27,923.49,17121.0
6,29.26,806.73,16773.0
7,29.59,692.17,16446.0
8,30.42,571.31,16144.0
9,29.25,459.75,15863.0
10,29.22,351.99,15598.0
11,29.06,262.23,15343.0
12,28.79,192.87,15092.0
13,28.26,141.48,14840.0
14,28.02,121.6,14591.0
15,28.59,110.51,14346.0
16,28.3,97.07,14104.0
17,28.61,90.96,13864.0
18,29.13,83.47,13629.0
19,28.82,71.57,13393.0
20,27.92,78.88,13166.0
21,28.86,79.78,12948.0
22,28.34,72.48,12733.0
23,28.99,58.95,12516.0
24,28.64,55.2,12299.0
25,29.26,66.19,12096.0
26,28.79,68.9,11901.0
27,29.24,52.57,11705.0
28,29.48,45.4,11506.0
29,29.13,48.88,11314.0
30,28.87,59.91,11136.0
31,29.41,61.3,10968.0
32,29.71,48.11,10797.0
33,29.74,36.59,10621.0
34,28.93,45.95,10455.0
35,28.33,53.74,10303.0
36,29.58,51.05,10156.0
37,29.97,41.27,10008.0
38,28.95,36.95,9858.0
39,29.73,43.79,9718.0
40,30.1,48.08,9588.0
41,30.18,35.21,9451.0
42,29.75,37.63,9320.0
43,29.81,39.58,9194.0
44,29.73,45.34,9078.0
45,30.02,41.4,8963.0
46,29.7,35.7,8848.0
47,30.23,36.6,8735.0
48,30.06,34.36,8625.0
49,29.62,38.51,8519.0
50,30.57,39.05,8418.0
51,30.48,26.05,8307.0
52,29.71,32.43,8202.0
53,29.81,43.26,8112.0
54,30.37,39.8,8023.0
55,30.67,28.86,7927.0
56,29.64,29.54,7833.0
57,29.61,32.3,7742.0
58,29.96,38.64,7662.0
59,30.5,31.18,7575.0
60,30.3,23.84,7483.0
61,29.32,35.3,7403.0
62,29.83,37.5,7329.0
63,30.58,33.7,7254.0
64,30.99,27.65,7175.0
65,30.22,21.43,7089.0
66,30.22,38.23,7022.0
67,30.75,34.0,6956.0
68,30.85,21.83,6877.0
69,30.19,20.38,6796.0
70,30.33,36.33,6732.0
71,30.26,46.08,6683.0
72,30.71,26.47,6617.0
73,31.27,21.36,6547.0
74,29.99,22.3,6475.0
75,29.99,33.09,6416.0
76,30.93,36.21,6365.0
77,30.58,34.7,6314.0
78,31.39,21.17,6249.0
79,31.11,16.65,6177.0
80,30.67,40.59,6134.0
81,30.8,33.26,6086.0
82,30.61,25.78,6031.0
83,31.25,21.78,5972.0
84,30.51,21.08,5912.0
85,30.06,28.73,5862.0
86,31.03,38.72,5824.0
87,31.09,26.34,5776.0
88,30.65,22.25,5723.0
89,30.95,22.22,5671.0
90,30.75,26.58,5623.0
91,30.66,27.71,5578.0
92,31.17,30.2,5538.0
93,31.82,26.2,5494.0
94,31.51,20.13,5444.0
95,30.74,23.53,5397.0
96,30.82,31.16,5360.0
97,31.35,28.84,5323.0
98,31.33,24.82,5281.0
99,30.92,30.63,5247.0
