epoch,training_acc,training_loss,L2
1,15.6,1554.39,18836.0
2,21.31,1295.45,18245.0
3,25.45,1154.4,17862.0
4,27.59,1034.86,17485.0
5,29.31,918.02,17116.0
6,29.97,805.18,16763.0
7,29.92,686.5,16433.0
8,29.61,569.76,16127.0
9,29.65,451.85,15841.0
10,29.67,347.22,15572.0
11,29.49,261.74,15315.0
12,28.52,188.93,15061.0
13,29.54,146.21,14809.0
14,29.0,117.85,14558.0
15,28.77,117.64,14314.0
16,28.9,97.8,14073.0
17,28.47,82.96,13830.0
18,29.12,82.38,13593.0
19,28.58,74.32,13358.0
20,28.83,71.47,13126.0
21,29.07,80.89,12907.0
22,28.79,72.32,12694.0
23,29.16,64.66,12481.0
24,29.67,66.36,12276.0
25,29.53,56.43,12069.0
26,29.22,57.26,11868.0
27,29.57,58.35,11673.0
28,28.66,61.85,11487.0
29,28.93,56.13,11304.0
30,29.27,50.52,11124.0
31,29.28,47.66,10946.0
32,29.91,48.22,10774.0
33,29.39,49.39,10608.0
34,29.4,52.61,10450.0
35,30.26,42.29,10291.0
36,29.82,38.68,10131.0
37,28.76,54.91,9989.0
38,29.65,52.14,9853.0
39,30.02,38.38,9713.0
40,29.96,27.96,9564.0
41,29.74,30.46,9416.0
42,29.46,55.07,9299.0
43,29.93,49.75,9183.0
44,30.54,39.68,9064.0
45,30.53,25.07,8934.0
46,29.7,25.9,8804.0
47,29.58,53.38,8703.0
48,30.43,54.11,8610.0
49,30.49,26.82,8498.0
50,30.18,19.87,8376.0
51,30.1,38.04,8273.0
52,30.18,54.36,8191.0
53,30.29,35.9,8098.0
54,31.16,29.33,8001.0
55,30.23,29.31,7905.0
56,30.15,35.0,7816.0
57,30.42,37.17,7731.0
58,30.86,30.81,7643.0
59,30.65,32.63,7559.0
60,30.9,33.11,7478.0
61,30.44,36.7,7403.0
62,30.94,26.4,7320.0
63,30.94,23.52,7233.0
64,30.0,28.9,7154.0
65,29.51,45.25,7092.0
66,30.31,37.2,7028.0
67,30.95,21.85,6950.0
68,31.25,18.05,6865.0
69,29.99,34.03,6799.0
70,30.66,44.38,6746.0
71,31.3,22.93,6675.0
72,30.85,20.79,6600.0
73,31.79,26.26,6533.0
74,31.2,30.58,6472.0
75,31.01,37.87,6420.0
76,31.41,35.04,6367.0
77,31.15,21.68,6303.0
78,31.38,20.96,6237.0
79,30.22,26.56,6177.0
80,29.88,36.53,6129.0
81,30.93,37.89,6086.0
82,31.77,19.27,6024.0
83,31.61,16.91,5958.0
84,29.99,29.15,5906.0
85,30.12,42.11,5871.0
86,31.05,29.39,5824.0
87,31.02,22.17,5770.0
88,31.66,19.75,5713.0
89,30.89,24.15,5661.0
90,29.76,38.4,5627.0
91,31.66,28.71,5585.0
92,31.91,15.04,5527.0
93,30.7,19.61,5473.0
94,30.5,38.68,5442.0
95,30.93,39.81,5412.0
96,32.09,22.11,5368.0
97,31.76,10.97,5308.0
98,30.86,15.3,5251.0
99,30.43,42.15,5227.0
