epoch,training_acc,training_loss,L2
1,15.76,1558.09,18822.0
2,20.48,1304.27,18230.0
3,24.99,1163.54,17847.0
4,26.9,1046.25,17472.0
5,28.28,931.27,17108.0
6,29.11,816.99,16763.0
7,29.3,702.34,16442.0
8,29.54,583.78,16145.0
9,28.65,463.56,15869.0
10,28.57,359.23,15611.0
11,28.67,268.03,15361.0
12,28.05,198.88,15117.0
13,28.05,155.75,14876.0
14,28.38,121.25,14634.0
15,27.97,100.15,14389.0
16,27.62,99.92,14150.0
17,28.31,99.44,13918.0
18,28.69,86.69,13687.0
19,28.71,84.7,13463.0
20,28.5,75.94,13240.0
21,28.45,66.46,13017.0
22,28.56,73.33,12802.0
23,28.45,76.83,12596.0
24,28.34,62.13,12389.0
25,28.24,58.0,12184.0
26,28.99,53.08,11979.0
27,28.33,67.52,11789.0
28,29.17,59.76,11602.0
29,29.41,46.13,11411.0
30,28.47,52.73,11227.0
31,29.19,58.07,11055.0
32,29.21,53.62,10887.0
33,29.74,45.25,10717.0
34,28.74,46.13,10553.0
35,28.97,53.04,10400.0
36,28.65,46.18,10248.0
37,29.7,49.23,10103.0
38,29.69,36.2,9952.0
39,28.9,39.98,9807.0
40,29.07,54.53,9678.0
41,29.26,50.57,9555.0
42,30.04,31.93,9421.0
43,29.56,28.21,9282.0
44,29.64,43.4,9159.0
45,29.19,46.7,9046.0
46,29.61,41.54,8934.0
47,28.98,34.99,8818.0
48,29.2,39.02,8709.0
49,29.49,39.02,8603.0
50,29.63,29.2,8490.0
51,29.46,32.28,8381.0
52,29.39,42.31,8286.0
53,29.45,39.53,8191.0
54,29.46,40.24,8102.0
55,29.63,29.96,8004.0
56,29.82,33.07,7912.0
57,30.05,26.96,7814.0
58,29.35,28.98,7719.0
59,29.93,45.38,7644.0
60,29.64,33.9,7562.0
61,30.21,29.14,7477.0
62,30.38,28.05,7392.0
63,30.38,28.5,7308.0
64,29.27,32.53,7230.0
65,30.49,44.25,7168.0
66,30.11,36.75,7102.0
67,31.01,22.88,7024.0
68,30.94,14.98,6933.0
69,29.19,24.15,6851.0
70,30.35,59.93,6809.0
71,30.72,39.25,6752.0
72,30.31,19.68,6679.0
73,30.87,12.84,6594.0
74,29.85,19.98,6515.0
75,29.51,48.94,6471.0
76,30.66,43.92,6426.0
77,30.8,24.22,6364.0
78,30.78,17.74,6294.0
79,31.19,20.15,6224.0
80,29.8,32.77,6171.0
81,29.72,43.6,6132.0
82,30.98,32.65,6083.0
83,30.49,17.89,6020.0
84,30.8,20.34,5958.0
85,30.58,30.08,5909.0
86,30.23,36.61,5868.0
87,30.68,31.68,5823.0
88,30.92,23.53,5771.0
89,30.45,22.37,5719.0
90,30.04,27.51,5672.0
91,30.05,28.5,5628.0
92,29.86,27.97,5584.0
93,30.89,29.8,5543.0
94,30.32,25.54,5498.0
95,30.89,22.33,5451.0
96,30.44,25.28,5407.0
97,30.41,32.01,5372.0
98,31.55,28.15,5334.0
99,30.56,24.35,5291.0
