epoch,training_acc,training_loss,L2
1,16.74,1546.06,18831.0
2,21.88,1285.68,18239.0
3,25.34,1144.35,17857.0
4,27.76,1026.51,17483.0
5,28.83,913.23,17119.0
6,29.14,797.6,16774.0
7,29.64,681.43,16453.0
8,29.96,561.63,16157.0
9,29.11,442.89,15882.0
10,28.69,336.89,15623.0
11,28.78,248.71,15373.0
12,28.9,188.22,15128.0
13,29.06,136.94,14881.0
14,28.19,112.45,14634.0
15,28.49,106.61,14390.0
16,28.3,108.5,14157.0
17,28.74,89.15,13923.0
18,29.21,80.11,13690.0
19,28.78,74.45,13459.0
20,28.8,69.58,13230.0
21,28.23,66.8,13004.0
22,28.34,78.72,12792.0
23,28.52,74.01,12586.0
24,29.65,61.46,12379.0
25,29.34,53.48,12171.0
26,28.6,60.94,11972.0
27,28.97,58.58,11779.0
28,28.95,57.32,11591.0
29,29.82,51.3,11405.0
30,29.41,54.85,11227.0
31,29.36,51.39,11052.0
32,29.49,47.15,10879.0
33,28.76,51.69,10716.0
34,29.28,50.08,10557.0
35,29.81,41.14,10395.0
36,29.77,42.94,10238.0
37,29.55,54.8,10098.0
38,29.51,42.86,9955.0
39,29.57,36.67,9809.0
40,29.56,37.77,9668.0
41,29.99,36.85,9528.0
42,29.44,47.11,9403.0
43,30.15,48.18,9285.0
44,29.94,37.8,9164.0
45,29.44,31.2,9037.0
46,29.9,41.32,8924.0
47,30.0,35.57,8808.0
48,29.78,40.76,8700.0
49,30.14,38.03,8594.0
50,29.74,36.99,8489.0
51,30.31,36.3,8387.0
52,30.54,33.36,8284.0
53,30.3,39.48,8190.0
54,30.55,30.22,8090.0
55,30.42,23.77,7984.0
56,30.09,25.14,7879.0
57,29.5,49.62,7802.0
58,30.11,47.58,7728.0
59,30.57,24.12,7636.0
60,30.74,25.78,7545.0
61,30.61,28.79,7458.0
62,29.91,33.45,7377.0
63,29.67,38.13,7304.0
64,30.79,29.68,7226.0
65,30.78,25.26,7145.0
66,30.56,28.93,7066.0
67,30.36,31.79,6994.0
68,29.9,30.98,6922.0
69,30.46,35.92,6859.0
70,30.63,30.35,6792.0
71,30.77,33.95,6730.0
72,31.06,23.11,6659.0
73,30.69,23.47,6587.0
74,30.35,32.71,6526.0
75,29.9,31.73,6468.0
76,30.25,27.34,6406.0
77,30.76,27.94,6346.0
78,30.23,28.51,6288.0
79,30.39,28.55,6231.0
80,30.26,30.62,6177.0
81,30.32,26.03,6121.0
82,30.77,29.8,6068.0
83,30.61,26.01,6015.0
84,31.57,24.74,5959.0
85,31.12,23.21,5902.0
86,31.41,25.26,5849.0
87,30.99,31.41,5804.0
88,30.74,33.56,5763.0
89,30.93,26.86,5715.0
90,31.83,20.39,5661.0
91,31.23,17.79,5604.0
92,30.78,30.08,5562.0
93,30.09,39.77,5531.0
94,31.38,28.32,5490.0
95,31.25,17.08,5437.0
96,31.06,17.59,5383.0
97,30.75,27.43,5341.0
98,29.87,33.93,5308.0
99,31.81,28.72,5271.0
