epoch,training_acc,training_loss,L2
1,17.02,1551.17,18841.0
2,21.55,1286.31,18259.0
3,24.61,1144.35,17885.0
4,27.16,1022.74,17520.0
5,28.33,908.55,17167.0
6,28.9,792.36,16833.0
7,29.56,672.27,16523.0
8,29.1,544.24,16237.0
9,29.38,431.69,15971.0
10,28.84,326.56,15719.0
11,29.15,238.09,15474.0
12,28.99,175.42,15232.0
13,28.42,134.39,14988.0
14,28.31,113.18,14744.0
15,28.47,104.18,14504.0
16,28.55,96.04,14267.0
17,28.12,92.82,14035.0
18,28.39,81.14,13804.0
19,28.25,74.36,13574.0
20,29.04,81.04,13353.0
21,28.62,76.37,13136.0
22,28.87,63.6,12918.0
23,28.82,54.68,12698.0
24,28.89,61.76,12484.0
25,28.62,73.61,12284.0
26,29.32,63.55,12088.0
27,29.91,55.86,11893.0
28,28.81,49.02,11697.0
29,28.71,48.94,11503.0
30,29.68,53.2,11318.0
31,29.38,56.96,11142.0
32,29.14,49.1,10969.0
33,29.74,47.4,10798.0
34,29.66,46.28,10631.0
35,29.81,42.75,10466.0
36,29.68,48.13,10311.0
37,28.69,47.26,10162.0
38,29.31,44.14,10015.0
39,29.52,39.02,9868.0
40,29.43,46.54,9732.0
41,29.28,50.52,9605.0
42,29.91,34.53,9470.0
43,29.52,27.6,9328.0
44,29.35,30.11,9190.0
45,28.99,55.52,9079.0
46,29.76,47.25,8969.0
47,30.52,32.23,8851.0
48,29.63,32.53,8734.0
49,29.68,40.24,8626.0
50,30.33,35.94,8518.0
51,30.52,31.01,8407.0
52,29.95,35.95,8303.0
53,29.77,35.35,8202.0
54,29.61,38.11,8108.0
55,30.42,31.24,8010.0
56,30.39,31.23,7912.0
57,30.07,29.65,7817.0
58,29.84,37.84,7732.0
59,29.85,37.87,7650.0
60,30.43,24.68,7558.0
61,30.01,23.85,7463.0
62,29.6,37.82,7386.0
63,30.54,38.35,7313.0
64,29.61,32.57,7238.0
65,30.63,31.05,7162.0
66,30.51,25.9,7083.0
67,29.51,27.44,7006.0
68,30.14,32.27,6935.0
69,30.56,33.27,6869.0
70,30.74,27.92,6798.0
71,29.93,27.4,6728.0
72,30.21,25.83,6658.0
73,30.19,36.13,6600.0
74,30.41,31.0,6540.0
75,30.32,24.61,6474.0
76,30.53,23.76,6407.0
77,30.5,30.97,6349.0
78,30.19,34.35,6296.0
79,30.82,31.06,6243.0
80,31.43,18.88,6177.0
81,30.36,22.79,6114.0
82,30.71,36.38,6069.0
83,31.35,31.07,6020.0
84,31.23,21.27,5962.0
85,31.2,18.62,5900.0
86,30.68,31.6,5853.0
87,30.75,32.76,5810.0
88,30.63,23.0,5758.0
89,30.97,24.58,5708.0
90,30.91,30.58,5665.0
91,31.11,30.55,5624.0
92,30.81,21.45,5573.0
93,31.42,27.72,5529.0
94,31.62,28.89,5489.0
95,31.68,24.81,5445.0
96,31.29,18.83,5394.0
97,30.73,30.32,5356.0
98,30.97,31.19,5321.0
99,30.84,23.9,5279.0
