epoch,training_acc,training_loss,L2
1,15.52,1553.99,18824.0
2,22.22,1298.66,18231.0
3,25.43,1154.25,17852.0
4,27.37,1031.73,17483.0
5,28.92,915.67,17125.0
6,28.91,795.97,16787.0
7,29.34,679.47,16475.0
8,29.45,553.61,16186.0
9,29.09,435.17,15918.0
10,28.37,329.78,15664.0
11,27.71,242.16,15420.0
12,27.86,178.57,15177.0
13,28.45,135.87,14934.0
14,28.3,117.75,14692.0
15,28.24,100.68,14451.0
16,28.01,98.25,14214.0
17,28.58,97.62,13984.0
18,28.82,83.59,13756.0
19,28.27,75.73,13527.0
20,28.44,75.28,13304.0
21,28.63,72.81,13085.0
22,28.21,71.03,12871.0
23,28.11,65.93,12660.0
24,28.35,60.45,12451.0
25,29.14,57.79,12244.0
26,28.57,53.68,12039.0
27,29.19,66.22,11848.0
28,28.63,58.72,11661.0
29,28.69,47.93,11471.0
30,28.95,47.29,11284.0
31,28.86,55.7,11110.0
32,28.88,56.58,10943.0
33,28.84,45.39,10774.0
34,29.01,41.25,10605.0
35,28.84,43.55,10442.0
36,29.67,54.34,10293.0
37,29.69,49.49,10149.0
38,29.54,41.02,10003.0
39,29.51,36.96,9855.0
40,28.94,43.6,9718.0
41,29.26,37.81,9581.0
42,29.34,41.97,9450.0
43,29.51,43.14,9326.0
44,29.58,42.48,9207.0
45,29.21,31.29,9081.0
46,29.27,39.36,8963.0
47,29.59,40.85,8852.0
48,29.58,35.93,8739.0
49,29.82,35.46,8630.0
50,29.36,33.69,8521.0
51,29.71,42.74,8424.0
52,29.47,33.41,8322.0
53,29.86,26.22,8214.0
54,29.73,30.06,8110.0
55,29.67,45.48,8025.0
56,30.14,41.38,7940.0
57,29.84,27.77,7846.0
58,30.62,18.8,7740.0
59,29.08,26.96,7643.0
60,29.13,52.9,7575.0
61,29.63,40.04,7501.0
62,30.44,21.99,7412.0
63,30.56,15.63,7312.0
64,29.16,33.37,7232.0
65,29.96,52.69,7177.0
66,30.69,34.15,7108.0
67,31.14,16.75,7022.0
68,30.09,16.34,6930.0
69,29.49,42.13,6869.0
70,30.31,48.76,6819.0
71,30.16,27.93,6753.0
72,29.85,19.14,6677.0
73,30.06,19.36,6599.0
74,29.11,35.86,6542.0
75,29.91,38.01,6490.0
76,30.13,28.8,6432.0
77,31.14,24.56,6368.0
78,30.65,25.06,6305.0
79,30.17,28.19,6246.0
80,29.93,36.56,6200.0
81,30.3,23.53,6141.0
82,31.16,19.94,6078.0
83,30.64,25.59,6021.0
84,29.85,34.99,5977.0
85,30.98,33.92,5933.0
86,30.88,26.69,5883.0
87,30.37,20.98,5828.0
88,31.1,19.51,5769.0
89,30.14,23.92,5716.0
90,30.5,42.96,5684.0
91,31.27,31.05,5644.0
92,30.7,21.09,5593.0
93,29.84,25.4,5545.0
94,31.0,26.89,5503.0
95,30.13,24.33,5457.0
96,30.87,27.23,5416.0
97,30.67,29.69,5379.0
98,31.22,25.06,5337.0
99,30.65,25.17,5296.0
