epoch,training_acc,training_loss,L2
1,34.49,848.92,847.0
2,41.31,813.37,887.0
3,45.21,793.23,920.0
4,48.03,780.77,951.0
5,49.49,770.57,981.0
6,51.48,760.99,1011.0
7,51.97,752.85,1041.0
8,55.23,744.55,1070.0
9,56.15,735.76,1100.0
10,58.22,728.29,1130.0
11,59.48,720.41,1161.0
12,61.16,713.62,1192.0
13,62.0,707.51,1223.0
14,63.4,699.28,1255.0
15,63.95,693.96,1286.0
16,64.18,686.46,1317.0
17,65.86,681.42,1348.0
18,65.7,675.3,1379.0
19,65.32,669.47,1409.0
20,65.8,663.54,1438.0
21,67.22,658.63,1465.0
22,68.17,653.65,1492.0
23,68.0,649.48,1519.0
24,68.53,644.81,1545.0
25,68.47,642.58,1572.0
26,68.47,638.22,1596.0
27,67.98,635.86,1620.0
28,68.52,632.91,1644.0
29,67.99,630.32,1667.0
30,69.11,628.23,1690.0
31,68.76,626.28,1714.0
32,69.7,623.67,1736.0
33,69.78,621.83,1755.0
34,69.57,621.2,1778.0
35,69.47,619.25,1798.0
36,70.1,618.03,1817.0
37,68.73,617.72,1839.0
38,69.64,616.82,1860.0
39,70.12,616.04,1881.0
40,69.53,614.6,1899.0
41,70.15,614.34,1920.0
42,69.38,612.87,1939.0
43,70.3,611.89,1958.0
44,69.62,611.74,1977.0
45,70.07,611.7,1999.0
46,70.43,609.35,2016.0
47,69.8,609.33,2034.0
48,69.96,608.25,2051.0
49,70.06,609.15,2072.0
50,69.92,608.23,2093.0
51,70.01,608.08,2114.0
52,70.14,606.88,2131.0
53,70.58,606.4,2150.0
54,70.57,605.76,2167.0
55,70.87,605.84,2187.0
56,70.11,605.48,2207.0
57,70.08,604.3,2224.0
58,70.36,603.85,2241.0
59,70.41,604.19,2259.0
60,69.92,603.32,2276.0
61,70.42,603.07,2295.0
62,69.71,602.23,2311.0
63,71.05,603.07,2332.0
64,70.8,602.62,2350.0
65,70.85,601.77,2367.0
66,70.59,601.77,2385.0
67,70.53,601.76,2403.0
68,70.84,601.5,2423.0
69,70.78,601.1,2440.0
70,70.54,600.31,2457.0
71,70.57,600.06,2473.0
72,70.9,599.91,2490.0
73,69.91,600.17,2509.0
74,71.06,600.28,2529.0
75,70.41,598.66,2541.0
76,71.03,599.34,2558.0
77,70.86,599.52,2578.0
78,70.49,599.31,2597.0
79,70.23,598.87,2615.0
80,70.77,599.08,2632.0
81,70.95,598.56,2650.0
82,70.66,598.42,2667.0
83,70.99,598.35,2685.0
84,70.63,598.06,2702.0
85,71.51,597.78,2720.0
86,71.12,596.9,2732.0
87,71.52,597.04,2750.0
88,71.49,597.64,2770.0
89,71.37,596.81,2784.0
90,71.37,597.09,2802.0
91,70.83,596.49,2819.0
92,71.39,596.43,2834.0
93,71.13,596.43,2850.0
94,71.56,596.16,2866.0
95,70.72,596.26,2885.0
96,70.33,596.35,2903.0
97,71.18,596.38,2921.0
98,71.28,595.77,2939.0
99,71.05,595.7,2955.0
