epoch,training_acc,training_loss,L2
1,3.67,1795.57,883.0
2,4.18,1788.89,921.0
3,5.37,1786.78,957.0
4,5.81,1783.75,988.0
5,6.24,1782.33,1015.0
6,6.5,1780.36,1049.0
7,7.54,1778.49,1077.0
8,7.54,1776.86,1108.0
9,8.17,1775.03,1138.0
10,8.35,1773.35,1166.0
11,8.27,1771.82,1194.0
12,8.95,1769.43,1222.0
13,9.48,1768.18,1249.0
14,9.23,1765.57,1274.0
15,9.86,1764.42,1301.0
16,10.12,1763.51,1327.0
17,10.31,1761.95,1351.0
18,10.22,1760.06,1373.0
19,10.55,1759.1,1401.0
20,10.83,1757.61,1427.0
21,11.27,1755.62,1450.0
22,11.16,1754.07,1475.0
23,11.74,1753.37,1499.0
24,11.43,1751.93,1523.0
25,11.71,1751.53,1550.0
26,12.14,1748.81,1573.0
27,11.95,1747.23,1594.0
28,12.24,1746.71,1618.0
29,12.71,1745.2,1641.0
30,12.83,1743.87,1664.0
31,12.54,1742.53,1690.0
32,12.7,1740.56,1714.0
33,12.83,1739.55,1737.0
34,12.76,1737.68,1760.0
35,13.18,1736.96,1783.0
36,12.82,1736.12,1806.0
37,13.11,1735.52,1829.0
38,12.93,1733.15,1851.0
39,13.06,1731.88,1873.0
40,13.3,1730.23,1893.0
41,13.53,1729.52,1915.0
42,13.36,1728.81,1936.0
43,13.46,1727.66,1958.0
44,13.55,1725.94,1980.0
45,13.62,1725.99,2003.0
46,13.54,1725.11,2026.0
47,13.58,1724.28,2048.0
48,14.07,1722.4,2065.0
49,14.11,1722.7,2087.0
50,13.87,1721.14,2105.0
51,13.74,1720.31,2126.0
52,14.21,1718.99,2145.0
53,14.04,1718.5,2165.0
54,13.96,1718.35,2185.0
55,14.1,1717.18,2204.0
56,14.07,1716.72,2223.0
57,14.23,1716.18,2245.0
58,13.97,1715.46,2264.0
59,13.65,1714.17,2284.0
60,14.25,1714.3,2304.0
61,14.21,1713.14,2322.0
62,14.3,1712.44,2339.0
63,13.78,1712.59,2360.0
64,14.63,1711.43,2380.0
65,14.26,1711.64,2400.0
66,14.64,1710.29,2418.0
67,14.37,1709.1,2435.0
68,14.57,1709.33,2453.0
69,14.58,1708.36,2471.0
70,14.65,1707.5,2489.0
71,14.68,1707.08,2508.0
72,14.83,1706.02,2526.0
73,14.89,1705.91,2542.0
74,14.73,1706.07,2563.0
75,14.59,1705.33,2582.0
76,14.48,1704.54,2601.0
77,14.66,1703.93,2620.0
78,14.74,1703.55,2640.0
79,14.68,1702.14,2655.0
80,14.72,1702.25,2675.0
81,14.11,1700.8,2691.0
82,14.85,1700.95,2710.0
83,15.11,1700.96,2730.0
84,15.03,1699.96,2747.0
85,15.16,1699.1,2762.0
86,14.77,1698.77,2780.0
87,14.41,1699.2,2799.0
88,14.96,1698.25,2817.0
89,15.08,1698.11,2836.0
90,15.01,1696.98,2854.0
91,15.04,1696.13,2869.0
92,14.91,1696.45,2887.0
93,14.75,1695.83,2907.0
94,14.84,1695.18,2923.0
95,14.77,1694.13,2938.0
96,14.86,1694.6,2956.0
97,15.34,1693.95,2972.0
98,14.98,1694.08,2991.0
99,14.87,1693.17,3007.0
