epoch,training_acc,training_loss,L2
1,35.34,853.27,1690.0
2,40.66,815.83,1715.0
3,42.13,799.18,1731.0
4,43.42,789.86,1746.0
5,43.88,783.28,1757.0
6,44.75,776.9,1768.0
7,46.19,771.06,1778.0
8,46.49,766.51,1788.0
9,47.13,761.97,1798.0
10,46.93,758.11,1808.0
11,47.37,754.69,1816.0
12,48.02,751.09,1825.0
13,48.21,746.94,1834.0
14,48.31,745.5,1842.0
15,48.15,741.09,1850.0
16,48.6,739.02,1858.0
17,49.07,736.09,1866.0
18,49.77,731.22,1875.0
19,49.89,728.11,1884.0
20,49.78,723.72,1893.0
21,50.78,720.16,1901.0
22,50.36,715.91,1910.0
23,50.75,713.13,1918.0
24,51.6,709.32,1927.0
25,50.79,707.81,1935.0
26,51.06,705.5,1943.0
27,51.63,701.8,1951.0
28,51.38,700.06,1959.0
29,51.57,697.39,1967.0
30,51.6,695.87,1974.0
31,51.19,693.14,1981.0
32,51.51,691.2,1988.0
33,52.12,689.38,1996.0
34,52.33,687.85,2003.0
35,51.44,685.25,2010.0
36,51.42,683.71,2017.0
37,51.98,682.62,2025.0
38,51.89,680.38,2031.0
39,51.19,679.63,2038.0
40,51.78,677.43,2045.0
41,52.01,675.52,2052.0
42,51.83,674.12,2058.0
43,52.62,672.47,2065.0
44,52.24,671.0,2072.0
45,51.71,669.3,2078.0
46,52.05,669.31,2084.0
47,51.8,668.2,2091.0
48,52.01,666.31,2097.0
49,52.74,665.78,2103.0
50,52.27,664.52,2110.0
51,51.42,664.27,2116.0
52,51.89,661.74,2122.0
53,52.14,661.99,2128.0
54,52.17,661.0,2134.0
55,51.8,659.66,2140.0
56,51.81,658.9,2146.0
57,51.81,658.18,2152.0
58,52.28,657.48,2159.0
59,52.05,656.02,2164.0
60,51.92,655.43,2170.0
61,51.91,654.33,2176.0
62,51.93,654.52,2182.0
63,51.91,652.92,2187.0
64,51.92,652.83,2192.0
65,52.02,652.75,2198.0
66,52.4,651.93,2204.0
67,51.95,650.19,2209.0
68,51.65,650.83,2215.0
69,51.92,649.83,2221.0
70,51.5,648.24,2226.0
71,51.69,647.6,2231.0
72,51.97,647.95,2236.0
73,51.67,647.77,2242.0
74,51.5,646.95,2247.0
75,51.67,646.0,2252.0
76,52.08,645.82,2257.0
77,52.12,645.0,2262.0
78,51.94,644.17,2267.0
79,52.03,644.81,2273.0
80,52.19,643.29,2278.0
81,52.08,643.55,2284.0
82,51.66,642.6,2289.0
83,51.82,641.75,2294.0
84,51.45,642.4,2299.0
85,51.99,641.59,2304.0
86,51.93,641.41,2309.0
87,52.24,641.18,2314.0
88,51.91,639.91,2319.0
89,52.12,639.37,2324.0
90,52.13,639.03,2328.0
91,51.98,639.86,2334.0
92,51.81,638.6,2339.0
93,51.76,637.97,2344.0
94,52.34,638.03,2349.0
95,51.85,638.49,2354.0
96,51.73,637.59,2359.0
97,51.98,636.56,2364.0
98,52.2,636.24,2368.0
99,51.83,636.29,2373.0
