epoch,training_acc,training_loss,L2
1,36.85,853.88,1692.0
2,40.2,814.35,1717.0
3,42.61,799.63,1734.0
4,43.38,789.43,1748.0
5,45.02,782.35,1760.0
6,45.07,777.15,1771.0
7,45.91,771.51,1781.0
8,46.84,766.43,1792.0
9,47.19,762.63,1801.0
10,47.29,758.71,1810.0
11,47.79,755.19,1819.0
12,47.81,752.1,1828.0
13,48.1,747.37,1836.0
14,48.34,746.06,1844.0
15,48.13,741.99,1852.0
16,48.24,739.3,1860.0
17,48.49,737.06,1868.0
18,48.18,733.33,1876.0
19,48.54,729.98,1884.0
20,49.01,726.92,1893.0
21,49.44,723.26,1902.0
22,49.92,719.92,1910.0
23,50.21,716.35,1919.0
24,50.6,712.51,1927.0
25,50.85,709.22,1935.0
26,50.61,706.75,1943.0
27,50.87,705.11,1951.0
28,50.85,702.18,1959.0
29,50.32,700.14,1967.0
30,50.99,696.92,1975.0
31,50.91,693.86,1982.0
32,50.58,691.76,1989.0
33,50.32,690.83,1997.0
34,51.3,689.0,2004.0
35,51.56,687.21,2011.0
36,51.37,685.54,2019.0
37,50.56,682.85,2025.0
38,51.78,680.65,2032.0
39,51.88,680.09,2039.0
40,51.76,678.69,2047.0
41,51.29,677.36,2053.0
42,51.32,675.04,2060.0
43,51.13,674.39,2067.0
44,51.72,674.68,2074.0
45,51.69,671.09,2080.0
46,51.42,669.65,2087.0
47,51.57,668.76,2094.0
48,51.59,666.79,2100.0
49,51.3,666.17,2106.0
50,51.15,664.82,2113.0
51,51.94,664.4,2119.0
52,51.57,663.34,2125.0
53,51.13,662.26,2131.0
54,51.73,661.76,2137.0
55,51.82,659.98,2144.0
56,51.53,659.8,2150.0
57,51.12,658.3,2156.0
58,51.81,657.7,2161.0
59,51.4,656.88,2167.0
60,51.64,656.81,2173.0
61,52.02,655.24,2179.0
62,51.8,655.75,2185.0
63,51.71,653.53,2190.0
64,51.56,653.42,2196.0
65,51.58,652.4,2202.0
66,51.33,651.84,2207.0
67,51.96,651.23,2213.0
68,51.88,650.97,2218.0
69,50.95,650.12,2224.0
70,50.89,650.44,2230.0
71,51.84,649.85,2235.0
72,50.98,648.5,2241.0
73,51.35,648.6,2246.0
74,50.77,647.29,2251.0
75,51.01,645.11,2256.0
76,51.11,646.38,2261.0
77,51.31,646.35,2266.0
78,51.57,646.55,2272.0
79,51.54,645.29,2277.0
80,51.97,644.03,2282.0
81,51.48,644.15,2287.0
82,51.23,643.1,2293.0
83,51.18,643.43,2298.0
84,51.14,642.94,2303.0
85,51.69,642.84,2308.0
86,51.46,640.94,2312.0
87,51.93,641.16,2317.0
88,51.05,641.47,2323.0
89,51.36,640.55,2328.0
90,51.83,640.07,2332.0
91,51.78,639.74,2337.0
92,51.45,638.57,2341.0
93,52.12,639.24,2347.0
94,51.75,638.47,2352.0
95,51.25,638.31,2356.0
96,51.66,637.17,2362.0
97,51.75,637.84,2367.0
98,51.9,636.49,2371.0
99,51.17,637.17,2377.0
