epoch,training_acc,training_loss,L2
1,33.56,857.21,1689.0
2,37.76,826.58,1710.0
3,38.77,814.15,1726.0
4,38.03,807.0,1738.0
5,39.67,800.52,1749.0
6,40.79,794.43,1760.0
7,41.56,790.85,1770.0
8,42.35,786.35,1779.0
9,41.84,782.12,1788.0
10,42.53,779.77,1797.0
11,41.74,775.67,1805.0
12,42.54,772.4,1813.0
13,43.49,769.51,1821.0
14,42.99,767.17,1829.0
15,42.89,762.95,1837.0
16,42.62,761.61,1844.0
17,43.03,759.46,1851.0
18,43.79,756.54,1859.0
19,43.61,754.07,1866.0
20,43.3,751.82,1873.0
21,44.42,750.73,1881.0
22,43.69,747.7,1888.0
23,44.66,746.33,1895.0
24,43.88,743.59,1902.0
25,44.1,740.42,1908.0
26,44.15,739.97,1916.0
27,44.02,738.63,1922.0
28,44.16,736.86,1929.0
29,44.35,734.15,1936.0
30,44.3,733.02,1943.0
31,45.12,731.79,1949.0
32,44.41,729.87,1955.0
33,44.88,728.6,1961.0
34,44.81,727.41,1968.0
35,45.02,726.74,1974.0
36,44.23,725.7,1979.0
37,44.17,723.78,1986.0
38,44.72,723.62,1992.0
39,44.52,721.77,1997.0
40,44.49,722.17,2003.0
41,44.76,720.03,2009.0
42,44.67,719.01,2015.0
43,43.92,717.85,2021.0
44,44.29,718.54,2027.0
45,44.62,717.39,2033.0
46,44.39,715.72,2038.0
47,44.28,715.21,2044.0
48,44.7,714.54,2050.0
49,44.7,713.84,2055.0
50,44.51,713.22,2061.0
51,44.68,712.08,2067.0
52,44.26,711.97,2072.0
53,44.53,710.52,2077.0
54,44.38,709.07,2083.0
55,43.94,708.93,2088.0
56,44.22,709.09,2093.0
57,44.35,707.7,2099.0
58,45.44,707.45,2104.0
59,44.56,705.99,2110.0
60,44.95,701.84,2118.0
61,45.02,699.12,2126.0
62,45.21,697.47,2133.0
63,46.33,695.69,2140.0
64,45.6,693.11,2147.0
65,45.76,691.78,2154.0
66,45.91,690.67,2161.0
67,45.92,689.78,2167.0
68,45.67,687.7,2174.0
69,46.16,685.46,2180.0
70,45.42,685.1,2186.0
71,46.05,684.37,2192.0
72,46.17,683.49,2199.0
73,45.21,682.14,2205.0
74,46.06,680.25,2211.0
75,45.91,680.23,2217.0
76,45.48,678.72,2223.0
77,46.33,679.11,2229.0
78,45.62,677.84,2235.0
79,46.28,677.27,2241.0
80,45.47,675.37,2247.0
81,45.6,677.19,2253.0
82,46.07,674.6,2258.0
83,45.37,674.53,2264.0
84,46.15,674.29,2269.0
85,45.89,673.01,2274.0
86,45.09,672.07,2280.0
87,45.62,671.49,2285.0
88,45.88,671.7,2291.0
89,45.56,670.83,2296.0
90,46.4,670.57,2301.0
91,46.25,670.34,2307.0
92,46.22,670.08,2312.0
93,46.54,669.66,2318.0
94,45.97,667.8,2322.0
95,46.17,668.06,2327.0
96,45.92,668.52,2332.0
97,45.75,667.47,2337.0
98,46.03,667.05,2342.0
99,46.29,666.83,2347.0
