epoch,training_acc,training_loss,L2
1,35.69,855.51,1691.0
2,40.79,815.13,1717.0
3,43.07,799.08,1734.0
4,43.84,789.6,1748.0
5,45.8,780.87,1761.0
6,46.52,774.38,1773.0
7,46.34,767.18,1785.0
8,47.82,760.95,1796.0
9,48.76,755.29,1807.0
10,48.9,751.02,1817.0
11,49.6,746.19,1826.0
12,49.61,742.39,1836.0
13,49.27,737.73,1845.0
14,49.4,735.1,1854.0
15,49.97,729.61,1862.0
16,50.54,727.66,1870.0
17,51.16,723.33,1878.0
18,50.94,721.0,1887.0
19,50.93,716.94,1895.0
20,51.41,713.93,1903.0
21,51.21,711.19,1911.0
22,51.1,708.89,1919.0
23,51.35,706.99,1927.0
24,50.91,703.98,1935.0
25,51.91,703.06,1943.0
26,51.54,699.97,1951.0
27,52.02,696.89,1958.0
28,51.25,694.78,1965.0
29,51.85,692.57,1972.0
30,51.5,691.36,1979.0
31,51.93,689.47,1986.0
32,52.29,687.67,1993.0
33,52.03,685.94,2000.0
34,51.91,683.93,2007.0
35,51.77,682.67,2014.0
36,51.99,680.61,2020.0
37,51.89,680.11,2028.0
38,51.58,678.5,2035.0
39,51.94,676.22,2041.0
40,52.06,675.21,2047.0
41,52.02,673.7,2054.0
42,51.83,672.82,2060.0
43,51.57,671.35,2067.0
44,51.79,670.71,2073.0
45,51.0,669.48,2079.0
46,52.11,668.55,2086.0
47,51.94,667.57,2092.0
48,52.28,666.85,2098.0
49,51.84,665.69,2104.0
50,51.81,664.09,2110.0
51,52.58,662.77,2116.0
52,52.14,662.78,2122.0
53,52.04,663.65,2129.0
54,52.07,660.77,2135.0
55,51.77,659.98,2141.0
56,52.86,659.85,2146.0
57,51.76,658.12,2152.0
58,52.29,657.5,2158.0
59,52.28,657.17,2163.0
60,51.97,655.97,2169.0
61,52.37,655.67,2175.0
62,52.17,654.51,2180.0
63,52.07,654.0,2186.0
64,51.53,653.05,2192.0
65,52.19,651.71,2197.0
66,52.15,650.52,2203.0
67,52.23,650.79,2208.0
68,52.03,649.74,2214.0
69,52.31,649.42,2219.0
70,52.23,649.45,2225.0
71,52.54,648.81,2230.0
72,51.68,647.95,2236.0
73,52.15,646.89,2241.0
74,52.87,646.3,2246.0
75,52.24,645.93,2251.0
76,52.51,645.62,2257.0
77,52.32,645.59,2262.0
78,52.45,644.17,2268.0
79,52.37,643.55,2272.0
80,52.37,643.85,2278.0
81,51.57,642.95,2283.0
82,52.12,642.27,2288.0
83,52.38,641.79,2293.0
84,52.74,641.33,2298.0
85,52.23,640.83,2304.0
86,52.74,640.76,2309.0
87,52.1,641.2,2314.0
88,51.37,639.82,2319.0
89,51.52,639.03,2324.0
90,52.64,639.5,2330.0
91,52.02,638.41,2335.0
92,51.85,637.75,2340.0
93,51.47,637.28,2345.0
94,51.98,637.86,2350.0
95,52.27,636.7,2355.0
96,52.56,635.86,2359.0
97,52.28,636.37,2365.0
98,51.82,635.89,2370.0
99,52.29,635.44,2374.0
