epoch,training_acc,training_loss,L2
1,33.74,864.08,1685.0
2,36.0,825.38,1713.0
3,38.88,811.16,1729.0
4,40.65,802.4,1743.0
5,41.86,795.06,1754.0
6,41.93,790.31,1765.0
7,41.55,785.86,1774.0
8,42.56,782.19,1783.0
9,46.43,773.65,1794.0
10,46.0,765.81,1804.0
11,46.54,760.37,1814.0
12,47.31,756.77,1823.0
13,47.96,752.16,1832.0
14,47.57,749.13,1841.0
15,47.59,744.93,1849.0
16,47.93,742.6,1857.0
17,48.56,739.28,1865.0
18,47.8,735.67,1873.0
19,47.69,733.02,1880.0
20,48.01,731.3,1888.0
21,48.5,726.07,1896.0
22,48.29,725.23,1904.0
23,49.14,723.55,1911.0
24,49.26,721.29,1918.0
25,49.22,717.9,1925.0
26,48.89,716.52,1932.0
27,48.45,713.93,1940.0
28,48.93,712.32,1946.0
29,48.98,711.53,1953.0
30,48.76,709.03,1960.0
31,48.89,709.0,1966.0
32,48.87,707.01,1973.0
33,48.88,704.51,1980.0
34,49.32,703.03,1986.0
35,49.16,702.2,1993.0
36,49.1,700.76,1999.0
37,48.68,698.29,2005.0
38,48.98,698.14,2011.0
39,49.07,696.77,2018.0
40,48.88,696.35,2025.0
41,48.96,694.0,2031.0
42,49.24,693.12,2037.0
43,49.43,691.42,2043.0
44,49.37,690.78,2049.0
45,49.85,689.5,2055.0
46,49.15,688.94,2061.0
47,49.77,688.05,2067.0
48,49.46,687.89,2073.0
49,48.78,686.64,2079.0
50,49.45,685.42,2084.0
51,49.55,685.33,2090.0
52,49.59,684.64,2096.0
53,49.0,682.57,2101.0
54,49.83,680.89,2106.0
55,49.97,681.24,2112.0
56,49.23,681.71,2119.0
57,49.21,680.79,2124.0
58,49.66,678.97,2130.0
59,49.04,679.53,2135.0
60,49.41,678.38,2141.0
61,48.9,677.44,2146.0
62,49.18,677.15,2151.0
63,49.48,676.09,2157.0
64,49.2,675.18,2162.0
65,50.14,675.65,2167.0
66,50.34,674.55,2173.0
67,49.12,673.44,2178.0
68,49.46,673.98,2183.0
69,49.61,672.9,2189.0
70,49.56,671.83,2194.0
71,49.31,672.0,2200.0
72,49.41,671.59,2204.0
73,49.85,671.33,2210.0
74,49.51,670.13,2214.0
75,49.36,669.11,2219.0
76,49.51,670.51,2225.0
77,49.02,668.63,2230.0
78,49.25,667.88,2234.0
79,49.55,667.92,2240.0
80,49.64,667.41,2245.0
81,50.59,666.76,2251.0
82,50.92,659.64,2258.0
83,51.12,656.82,2265.0
84,51.19,654.57,2272.0
85,51.15,652.38,2279.0
86,51.48,649.65,2285.0
87,51.6,649.2,2291.0
88,50.93,647.58,2298.0
89,51.36,646.87,2304.0
90,51.11,645.63,2310.0
91,51.43,644.45,2317.0
92,51.92,643.7,2323.0
93,51.34,642.9,2329.0
94,51.24,642.72,2335.0
95,51.55,641.19,2341.0
96,51.35,639.31,2347.0
97,51.17,639.79,2353.0
98,51.67,638.87,2358.0
99,51.24,638.53,2365.0
