epoch,training_acc,training_loss,L2
1,35.16,854.01,1690.0
2,37.96,821.41,1712.0
3,37.39,809.39,1726.0
4,37.88,802.39,1738.0
5,39.15,797.89,1748.0
6,40.55,793.95,1756.0
7,41.19,789.53,1765.0
8,41.73,787.08,1773.0
9,40.87,783.9,1780.0
10,41.94,781.23,1788.0
11,43.11,779.32,1795.0
12,42.87,776.67,1803.0
13,42.88,774.53,1809.0
14,42.68,772.73,1816.0
15,43.48,770.48,1822.0
16,43.75,768.05,1829.0
17,43.52,765.76,1835.0
18,43.36,764.55,1842.0
19,43.76,763.56,1848.0
20,43.79,761.98,1855.0
21,43.29,759.37,1862.0
22,44.3,758.0,1869.0
23,44.27,756.16,1875.0
24,43.92,754.53,1881.0
25,44.34,753.24,1888.0
26,44.1,751.48,1895.0
27,44.98,750.72,1901.0
28,44.43,748.34,1907.0
29,44.01,747.84,1913.0
30,44.43,746.98,1919.0
31,44.44,746.21,1925.0
32,44.71,745.5,1931.0
33,44.17,743.59,1938.0
34,44.55,741.91,1944.0
35,43.9,740.73,1950.0
36,44.92,739.14,1956.0
37,44.84,738.64,1961.0
38,44.04,738.42,1967.0
39,44.67,736.47,1973.0
40,44.65,736.32,1979.0
41,44.75,735.76,1985.0
42,44.52,734.79,1991.0
43,44.85,734.49,1996.0
44,44.73,733.27,2002.0
45,44.73,732.33,2007.0
46,44.67,731.99,2013.0
47,44.41,731.13,2018.0
48,44.37,729.49,2023.0
49,44.39,730.45,2029.0
50,44.46,729.6,2034.0
51,44.57,728.81,2040.0
52,45.01,728.09,2045.0
53,44.65,728.13,2050.0
54,44.76,727.13,2055.0
55,45.05,725.86,2060.0
56,44.43,724.89,2065.0
57,44.45,725.34,2070.0
58,44.6,724.77,2075.0
59,44.51,724.77,2080.0
60,44.86,724.12,2086.0
61,44.65,724.19,2090.0
62,45.04,723.02,2095.0
63,44.62,723.02,2100.0
64,44.19,721.34,2104.0
65,44.55,722.59,2109.0
66,44.4,721.65,2114.0
67,46.96,715.43,2122.0
68,47.94,709.08,2130.0
69,47.92,705.52,2138.0
70,47.56,703.26,2146.0
71,47.95,700.56,2152.0
72,47.85,698.39,2159.0
73,48.01,696.9,2166.0
74,48.36,695.98,2173.0
75,48.41,695.03,2179.0
76,48.13,693.07,2185.0
77,48.06,692.18,2192.0
78,48.4,691.53,2198.0
79,47.66,690.73,2203.0
80,48.63,689.4,2209.0
81,48.43,688.89,2215.0
82,48.06,688.09,2220.0
83,48.6,688.13,2226.0
84,48.28,688.04,2232.0
85,48.35,688.09,2238.0
86,48.42,687.41,2244.0
87,48.23,686.61,2249.0
88,47.97,685.82,2254.0
89,48.57,685.8,2259.0
90,48.77,684.64,2264.0
91,48.73,684.35,2269.0
92,49.08,685.12,2275.0
93,48.56,683.9,2279.0
94,48.56,683.76,2285.0
95,48.52,683.76,2290.0
96,48.94,683.02,2295.0
97,48.93,682.99,2299.0
98,48.83,681.57,2304.0
99,48.74,682.22,2309.0
